Rank,player,club,age,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
218,Benjamin Henrichs,Bayer Leverkusen,21,11(12),1262,-,1,1,1,0.8,74.2,0.9,-,6.57
219,Gideon Jung,Hamburger SV,23,29(1),2571,1,1,7,1,0.2,78.3,1.4,-,6.57
220,Konrad Laimer,RasenBallsport Leipzig,21,14(8),1332,-,2,2,-,0.2,76.8,1,-,6.56
211,Vedad Ibisevic,Hertha Berlin,33,18(9),1453,6,4,4,1,1.4,71.3,2.1,2,6.58
212,Caglar Soyuncu,Freiburg,22,25(1),2153,1,-,4,2,0.3,81.3,2.1,-,6.58
213,Roman Burki,Borussia Dortmund,27,33,2970,-,-,4,-,-,68.7,0.2,1,6.58
214,Dennis Aogo,VfB Stuttgart,31,22(7),1954,-,6,5,-,0.5,86.6,0.4,-,6.57
215,Makoto Hasebe,Eintracht Frankfurt,34,23(1),2090,-,-,3,1,0.1,88.5,0.6,-,6.57
216,Luka Jovic,Eintracht Frankfurt,20,9(13),929,8,1,2,-,1.7,73.6,1,-,6.57
217,Peter Gulacsi,RasenBallsport Leipzig,28,33,2970,-,-,1,-,-,65.1,0.2,1,6.57
218,Benjamin Henrichs,Bayer Leverkusen,21,11(12),1262,-,1,1,1,0.8,74.2,0.9,-,6.57
219,Gideon Jung,Hamburger SV,23,29(1),2571,1,1,7,1,0.2,78.3,1.4,-,6.57
220,Konrad Laimer,RasenBallsport Leipzig,21,14(8),1332,-,2,2,-,0.2,76.8,1,-,6.56
221,Gelson Fernandes,Eintracht Frankfurt,31,12(7),1036,-,-,4,-,0.1,81.7,0.4,-,6.56
222,Bernd Leno,Bayer Leverkusen,26,33,2970,-,-,1,-,-,66.7,0.4,1,6.56
223,Franco Di Santo,Schalke 04,29,22(8),1664,3,1,4,-,1,67.2,1.7,-,6.55
224,Michael Cuisance,Borussia M.Gladbach,18,9(15),1197,-,1,2,-,1,81.5,0.2,-,6.55
225,Andre Hahn,Hamburger SV,27,14(9),1353,3,-,-,-,1.8,52.6,3.2,-,6.55
226,Rune Jarstein,Hertha Berlin,33,31,2790,-,-,2,-,-,51.7,0.3,2,6.55
227,Philipp Tschauner,Hannover 96,32,31,2790,-,-,1,-,-,66.2,0.1,-,6.55
228,Stefan Ilsanker,RasenBallsport Leipzig,29,14(7),1287,-,1,2,1,0.2,84.1,1.7,1,6.55
229,Julian Korb,Hannover 96,26,28,2343,1,1,8,-,0.4,67.5,0.6,-,6.55
230,Chadrac Akolo,VfB Stuttgart,23,13(9),1107,5,-,2,-,1.5,77.2,0.5,-,6.54
221,Gelson Fernandes,Eintracht Frankfurt,31,12(7),1036,-,-,4,-,0.1,81.7,0.4,-,6.56
222,Bernd Leno,Bayer Leverkusen,26,33,2970,-,-,1,-,-,66.7,0.4,1,6.56
223,Franco Di Santo,Schalke 04,29,22(8),1664,3,1,4,-,1,67.2,1.7,-,6.55
224,Michael Cuisance,Borussia M.Gladbach,18,9(15),1197,-,1,2,-,1,81.5,0.2,-,6.55
225,Andre Hahn,Hamburger SV,27,14(9),1353,3,-,-,-,1.8,52.6,3.2,-,6.55
226,Rune Jarstein,Hertha Berlin,33,31,2790,-,-,2,-,-,51.7,0.3,2,6.55
227,Philipp Tschauner,Hannover 96,32,31,2790,-,-,1,-,-,66.2,0.1,-,6.55
228,Stefan Ilsanker,RasenBallsport Leipzig,29,14(7),1287,-,1,2,1,0.2,84.1,1.7,1,6.55
229,Julian Korb,Hannover 96,26,28,2343,1,1,8,-,0.4,67.5,0.6,-,6.55
230,Chadrac Akolo,VfB Stuttgart,23,13(9),1107,5,-,2,-,1.5,77.2,0.5,-,6.54
231,Marvin Bakalorz,Hannover 96,28,23(5),2058,-,1,4,-,0.8,70.2,1.3,-,6.52
232,Dominik Kohr,Bayer Leverkusen,24,18(10),1666,1,1,8,1,1.4,83,0.9,1,6.52
233,Robin Quaison,Mainz 05,24,15(9),1409,4,1,3,-,1.7,70.6,1,1,6.52
234,Gerrit Holtmann,Mainz 05,23,10(7),898,2,1,1,-,1.2,74.6,0.6,-,6.52
235,Patrick Herrmann,Borussia M.Gladbach,27,12(11),1126,-,1,-,-,0.9,71.3,0.5,-,6.52
236,Marco Terrazzino,Freiburg,27,19(5),1503,-,1,3,-,1,80,0.7,-,6.52
237,Yuya Osako,FC Cologne,28,23(2),1906,4,2,2,1,1.4,72.9,1.4,1,6.51
238,Weston McKennie,Schalke 04,19,13(9),1197,-,-,3,-,0.4,73.5,1.2,-,6.51
239,Felix Uduokhai,Wolfsburg,20,17(2),1558,1,-,1,1,0.2,86,1.9,1,6.50
240,Lukas Klunter,FC Cologne,22,14(5),1337,1,-,6,-,0.9,68.5,0.9,-,6.50
231,Marvin Bakalorz,Hannover 96,28,23(5),2058,-,1,4,-,0.8,70.2,1.3,-,6.52
232,Dominik Kohr,Bayer Leverkusen,24,18(10),1666,1,1,8,1,1.4,83,0.9,1,6.52
233,Robin Quaison,Mainz 05,24,15(9),1409,4,1,3,-,1.7,70.6,1,1,6.52
234,Gerrit Holtmann,Mainz 05,23,10(7),898,2,1,1,-,1.2,74.6,0.6,-,6.52
235,Patrick Herrmann,Borussia M.Gladbach,27,12(11),1126,-,1,-,-,0.9,71.3,0.5,-,6.52
236,Marco Terrazzino,Freiburg,27,19(5),1503,-,1,3,-,1,80,0.7,-,6.52
237,Yuya Osako,FC Cologne,28,23(2),1906,4,2,2,1,1.4,72.9,1.4,1,6.51
238,Weston McKennie,Schalke 04,19,13(9),1197,-,-,3,-,0.4,73.5,1.2,-,6.51
239,Felix Uduokhai,Wolfsburg,20,17(2),1558,1,-,1,1,0.2,86,1.9,1,6.50
240,Lukas Klunter,FC Cologne,22,14(5),1337,1,-,6,-,0.9,68.5,0.9,-,6.50
241,Lukas Hradecky,Eintracht Frankfurt,28,34,3060,-,-,1,-,-,62.6,0.2,-,6.50
242,Breel Embolo,Schalke 04,21,9(12),916,3,-,4,-,0.9,74.3,0.8,-,6.49
243,Jonas Hofmann,Borussia M.Gladbach,25,12(11),1030,-,3,-,-,0.9,74.5,0.3,-,6.48
244,Oliver Sorg,Hannover 96,28,20(2),1693,-,1,4,-,0.3,70.6,0.7,-,6.48
245,Vincenzo Grifo,Borussia M.Gladbach,25,9(8),782,-,3,-,-,0.7,76.6,0.3,1,6.48
246,Marcin Kaminski,VfB Stuttgart,26,12(11),1135,-,-,-,-,0.2,84.7,1.4,1,6.47
247,Jonathan Schmid,Augsburg,27,15(10),1470,-,-,1,-,0.9,76.3,0.8,-,6.45
248,Iver Fossum,Hannover 96,21,13(6),1307,1,1,-,-,1.2,78.8,0.9,-,6.44
249,Julian Schuster,Freiburg,33,16(2),1310,-,-,1,-,0.7,85.2,1.2,-,6.43
250,Rick van Drongelen,Hamburger SV,19,16(2),1444,-,-,4,-,0.3,73.1,1.7,-,6.43
241,Lukas Hradecky,Eintracht Frankfurt,28,34,3060,-,-,1,-,-,62.6,0.2,-,6.50
242,Breel Embolo,Schalke 04,21,9(12),916,3,-,4,-,0.9,74.3,0.8,-,6.49
243,Jonas Hofmann,Borussia M.Gladbach,25,12(11),1030,-,3,-,-,0.9,74.5,0.3,-,6.48
244,Oliver Sorg,Hannover 96,28,20(2),1693,-,1,4,-,0.3,70.6,0.7,-,6.48
245,Vincenzo Grifo,Borussia M.Gladbach,25,9(8),782,-,3,-,-,0.7,76.6,0.3,1,6.48
246,Marcin Kaminski,VfB Stuttgart,26,12(11),1135,-,-,-,-,0.2,84.7,1.4,1,6.47
247,Jonathan Schmid,Augsburg,27,15(10),1470,-,-,1,-,0.9,76.3,0.8,-,6.45
248,Iver Fossum,Hannover 96,21,13(6),1307,1,1,-,-,1.2,78.8,0.9,-,6.44
249,Julian Schuster,Freiburg,33,16(2),1310,-,-,1,-,0.7,85.2,1.2,-,6.43
250,Rick van Drongelen,Hamburger SV,19,16(2),1444,-,-,4,-,0.3,73.1,1.7,-,6.43
251,Tatsuya Ito,Hamburger SV,20,12(8),1014,-,2,1,-,0.6,79.9,0.1,1,6.42
252,Alexandru Maxim,Mainz 05,27,11(11),960,2,2,4,-,1.2,81.8,-,-,6.42
253,Orel Mangala,VfB Stuttgart,20,7(13),770,-,-,2,-,0.5,78.3,0.3,-,6.39
254,Simon Zoller,FC Cologne,26,12(5),969,2,1,3,-,0.6,73.4,1.2,-,6.37
255,Bobby Wood,Hamburger SV,25,18(6),1610,2,-,1,1,1.6,72.5,2.8,1,6.37
256,Ondrej Duda,Hertha Berlin,23,9(8),746,1,-,3,-,0.5,82.3,0.8,-,6.36
257,Jann-Fiete Arp,Hamburger SV,18,8(10),846,2,-,1,-,0.9,58.4,1.2,-,6.33
258,Marcel Heller,Augsburg,32,14(10),1302,-,1,1,1,0.5,65.8,0.1,-,6.33
259,Kenan Karaman,Hannover 96,24,8(14),848,1,-,2,-,0.8,76.4,0.5,-,6.33
260,Jhon Cordoba,FC Cologne,25,9(9),951,-,2,1,-,1.9,69.8,1.9,-,6.32
251,Tatsuya Ito,Hamburger SV,20,12(8),1014,-,2,1,-,0.6,79.9,0.1,1,6.42
252,Alexandru Maxim,Mainz 05,27,11(11),960,2,2,4,-,1.2,81.8,-,-,6.42
253,Orel Mangala,VfB Stuttgart,20,7(13),770,-,-,2,-,0.5,78.3,0.3,-,6.39
254,Simon Zoller,FC Cologne,26,12(5),969,2,1,3,-,0.6,73.4,1.2,-,6.37
255,Bobby Wood,Hamburger SV,25,18(6),1610,2,-,1,1,1.6,72.5,2.8,1,6.37
256,Ondrej Duda,Hertha Berlin,23,9(8),746,1,-,3,-,0.5,82.3,0.8,-,6.36
257,Jann-Fiete Arp,Hamburger SV,18,8(10),846,2,-,1,-,0.9,58.4,1.2,-,6.33
258,Marcel Heller,Augsburg,32,14(10),1302,-,1,1,1,0.5,65.8,0.1,-,6.33
259,Kenan Karaman,Hannover 96,24,8(14),848,1,-,2,-,0.8,76.4,0.5,-,6.33
260,Jhon Cordoba,FC Cologne,25,9(9),951,-,2,1,-,1.9,69.8,1.9,-,6.32
261,Matthias Lehmann,FC Cologne,35,17(3),1519,-,-,3,-,0.6,81.2,0.6,-,6.30
262,Christian Mathenia,Hamburger SV,26,24,2160,-,-,2,-,-,54,0.1,-,6.28
263,Gian-Luca Waldschmidt,Hamburger SV,22,5(16),790,1,-,-,-,1.5,72.4,0.3,-,6.26
264,Florian Kath,Freiburg,23,3(21),659,1,-,3,-,0.7,68.4,0.7,-,6.25
265,Jerome Gondorf,Werder Bremen,29,7(14),796,1,1,4,-,0.8,70.6,0.5,-,6.20
266,Sergio Cordova,Augsburg,20,3(23),568,2,-,3,-,0.5,77.5,0.5,-,6.18
267,Landry Dimata,Wolfsburg,20,9(12),899,-,1,-,1,0.6,79.1,0.8,-,6.09
261,Matthias Lehmann,FC Cologne,35,17(3),1519,-,-,3,-,0.6,81.2,0.6,-,6.30
262,Christian Mathenia,Hamburger SV,26,24,2160,-,-,2,-,-,54,0.1,-,6.28
263,Gian-Luca Waldschmidt,Hamburger SV,22,5(16),790,1,-,-,-,1.5,72.4,0.3,-,6.26
264,Florian Kath,Freiburg,23,3(21),659,1,-,3,-,0.7,68.4,0.7,-,6.25
265,Jerome Gondorf,Werder Bremen,29,7(14),796,1,1,4,-,0.8,70.6,0.5,-,6.20
266,Sergio Cordova,Augsburg,20,3(23),568,2,-,3,-,0.5,77.5,0.5,-,6.18
267,Landry Dimata,Wolfsburg,20,9(12),899,-,1,-,1,0.6,79.1,0.8,-,6.09
261,Matthias Lehmann,FC Cologne,35,17(3),1519,-,-,3,-,0.6,81.2,0.6,-,6.30
262,Christian Mathenia,Hamburger SV,26,24,2160,-,-,2,-,-,54,0.1,-,6.28
263,Gian-Luca Waldschmidt,Hamburger SV,22,5(16),790,1,-,-,-,1.5,72.4,0.3,-,6.26
264,Florian Kath,Freiburg,23,3(21),659,1,-,3,-,0.7,68.4,0.7,-,6.25
265,Jerome Gondorf,Werder Bremen,29,7(14),796,1,1,4,-,0.8,70.6,0.5,-,6.20
266,Sergio Cordova,Augsburg,20,3(23),568,2,-,3,-,0.5,77.5,0.5,-,6.18
267,Landry Dimata,Wolfsburg,20,9(12),899,-,1,-,1,0.6,79.1,0.8,-,6.09
1,Lucas Paqueta,Flamengo,20,8,684,3,1,2,-,2.9,85.2,2.5,2,8.08
2,Anselmo,Sport Recife,29,8,720,2,1,2,-,1.1,86.7,2.1,2,7.81
3,Rene,Flamengo,25,8,720,-,2,1,-,0.3,80.6,1.5,2,7.74
4,Patrick,Internacional,25,10,900,2,1,2,-,1.8,85.1,1.3,1,7.66
5,Arthur,Gremio,21,5,421,1,1,-,-,0.8,95.8,1,1,7.64
6,Eder Militao,Sao Paulo,20,8,690,1,-,5,-,0.9,74.8,4.5,2,7.61
7,Dede,Cruzeiro,29,8,720,2,-,3,-,1.6,86.3,4.9,-,7.58
8,Victor Cuesta,Internacional,29,9,810,-,1,4,-,0.2,80.7,2.8,-,7.50
9,Everton,Gremio,22,8,710,1,3,2,-,3.3,83.8,0.3,1,7.50
10,Elber,Bahia,26,6,524,1,1,3,-,2,79.8,1,1,7.49
11,Marcos Rocha,Palmeiras,29,9,810,1,-,3,-,0.1,75.2,1,2,7.49
12,Gustavo Blanco,Atletico MG,23,8,668,-,4,3,-,1.5,88.3,-,1,7.48
13,Luan,Gremio,25,7,617,-,1,1,-,3.7,85.4,0.3,2,7.46
14,Rodrigo Moledo,Internacional,30,9,810,1,-,2,-,0.7,84.8,5.1,-,7.46
15,Giorgian de Arrascaeta,Cruzeiro,24,3(2),344,1,2,1,-,3.6,76.4,0.4,2,7.44
16,Thiago Carleto,Atletico PR,29,10,859,2,3,2,-,2.6,85.5,1,2,7.40
17,Richard,Fluminense,24,9,792,1,-,1,-,0.9,86.1,2.1,-,7.38
18,Bruno Cortez,Gremio,31,9,796,-,-,1,-,0.1,83.8,2.9,-,7.37
19,Sidcley,Corinthians,25,9,810,1,1,-,-,0.6,89,1,1,7.37
20,Diego,Flamengo,33,7,630,2,-,3,-,1.9,85.3,0.1,-,7.34
11,Marcos Rocha,Palmeiras,29,9,810,1,-,3,-,0.1,75.2,1,2,7.49
12,Gustavo Blanco,Atletico MG,23,8,668,-,4,3,-,1.5,88.3,-,1,7.48
13,Luan,Gremio,25,7,617,-,1,1,-,3.7,85.4,0.3,2,7.46
14,Rodrigo Moledo,Internacional,30,9,810,1,-,2,-,0.7,84.8,5.1,-,7.46
15,Giorgian de Arrascaeta,Cruzeiro,24,3(2),344,1,2,1,-,3.6,76.4,0.4,2,7.44
16,Thiago Carleto,Atletico PR,29,10,859,2,3,2,-,2.6,85.5,1,2,7.40
17,Richard,Fluminense,24,9,792,1,-,1,-,0.9,86.1,2.1,-,7.38
18,Bruno Cortez,Gremio,31,9,796,-,-,1,-,0.1,83.8,2.9,-,7.37
19,Sidcley,Corinthians,25,9,810,1,1,-,-,0.6,89,1,1,7.37
20,Diego,Flamengo,33,7,630,2,-,3,-,1.9,85.3,0.1,-,7.34
21,Serginho,America MG,23,9,790,4,2,-,-,2.7,80.6,1.2,3,7.33
22,Rodinei,Flamengo,26,9,810,-,1,1,-,1,85.2,0.8,-,7.33
23,Roger Guedes,Atletico MG,21,8(1),721,6,1,1,-,3.9,80.8,0.7,1,7.32
24,Antonio Carlos,Palmeiras,25,9,810,1,-,3,-,0.6,82.5,4.7,2,7.31
25,Diego Alves,Flamengo,32,7,630,-,-,-,-,-,66.7,0.1,-,7.30
26,Pio,Ceara,30,5(1),462,1,1,1,-,3.2,81.4,2.3,1,7.29
27,Diego Souza,Sao Paulo,32,7,565,4,1,-,-,1.9,65.9,4.4,1,7.29
28,Pedro,Fluminense,20,8,656,5,2,1,-,2.1,76.3,1.6,-,7.29
29,Angel Romero,Corinthians,25,6,498,-,2,3,-,1.5,70.3,2.8,-,7.28
30,Andres Rios,Vasco da Gama,28,7(1),652,3,1,3,-,1.9,78.7,3.6,3,7.27
21,Serginho,America MG,23,9,790,4,2,-,-,2.7,80.6,1.2,3,7.33
22,Rodinei,Flamengo,26,9,810,-,1,1,-,1,85.2,0.8,-,7.33
23,Roger Guedes,Atletico MG,21,8(1),721,6,1,1,-,3.9,80.8,0.7,1,7.32
24,Antonio Carlos,Palmeiras,25,9,810,1,-,3,-,0.6,82.5,4.7,2,7.31
25,Diego Alves,Flamengo,32,7,630,-,-,-,-,-,66.7,0.1,-,7.30
26,Pio,Ceara,30,5(1),462,1,1,1,-,3.2,81.4,2.3,1,7.29
27,Diego Souza,Sao Paulo,32,7,565,4,1,-,-,1.9,65.9,4.4,1,7.29
28,Pedro,Fluminense,20,8,656,5,2,1,-,2.1,76.3,1.6,-,7.29
29,Angel Romero,Corinthians,25,6,498,-,2,3,-,1.5,70.3,2.8,-,7.28
30,Andres Rios,Vasco da Gama,28,7(1),652,3,1,3,-,1.9,78.7,3.6,3,7.27
31,Rever,Flamengo,33,5,407,1,-,-,-,1.2,90.1,2.6,-,7.27
32,Willian,Palmeiras,31,6(3),550,6,-,1,-,2.9,80,-,2,7.27
33,Walter Kannemann,Gremio,27,8,703,-,-,2,1,0.3,88.1,2.3,1,7.25
34,Norberto Neto,America MG,27,7,630,-,1,2,-,0.6,79.9,1,-,7.25
35,Hudson,Sao Paulo,30,7,574,-,-,3,-,1.4,84.4,2.7,1,7.25
36,Maicon,Gremio,32,9,718,3,-,2,-,1,92.8,0.4,-,7.25
37,Elton,Bahia,28,8,720,-,1,1,-,0.8,87.8,2,1,7.24
38,Zeca,Internacional,24,6,522,-,1,-,-,0.3,83,0.5,-,7.23
39,Cassio,Corinthians,31,5,450,-,-,-,-,-,60.9,0.4,-,7.22
40,Ze Rafael,Bahia,24,9,763,1,-,2,-,3,82,0.4,-,7.21
31,Rever,Flamengo,33,5,407,1,-,-,-,1.2,90.1,2.6,-,7.27
32,Willian,Palmeiras,31,6(3),550,6,-,1,-,2.9,80,-,2,7.27
33,Walter Kannemann,Gremio,27,8,703,-,-,2,1,0.3,88.1,2.3,1,7.25
34,Norberto Neto,America MG,27,7,630,-,1,2,-,0.6,79.9,1,-,7.25
35,Hudson,Sao Paulo,30,7,574,-,-,3,-,1.4,84.4,2.7,1,7.25
36,Maicon,Gremio,32,9,718,3,-,2,-,1,92.8,0.4,-,7.25
37,Elton,Bahia,28,8,720,-,1,1,-,0.8,87.8,2,1,7.24
38,Zeca,Internacional,24,6,522,-,1,-,-,0.3,83,0.5,-,7.23
39,Cassio,Corinthians,31,5,450,-,-,-,-,-,60.9,0.4,-,7.22
40,Ze Rafael,Bahia,24,9,763,1,-,2,-,3,82,0.4,-,7.21
41,Gilberto,Fluminense,25,7,544,1,2,-,1,0.9,75,2.1,2,7.21
42,Robert Arboleda,Sao Paulo,26,7,630,-,-,2,-,1,81.2,4.7,1,7.21
43,Rodrigo Dourado,Internacional,23,9,804,-,-,3,-,0.8,85.2,3.3,1,7.20
44,Walter,Corinthians,30,5,450,-,-,-,-,-,57.9,1.2,1,7.19
45,Junior,Parana Clube,26,4(1),372,-,-,1,-,0.8,82.9,1.2,2,7.19
46,Santos,Atletico PR,28,9,810,-,-,-,-,-,84.3,0.8,2,7.19
47,Rodrygo,Santos FC,17,9,742,5,2,-,-,1.9,75.1,0.2,2,7.18
48,Sander,Sport Recife,27,8(1),765,-,-,3,-,0.7,80.9,2.2,-,7.18
49,Wallyson,Vitoria,29,7(1),664,2,3,1,-,2,73.6,0.5,1,7.17
50,Marlone,Sport Recife,26,9,784,1,2,1,-,1.7,76.3,1.6,-,7.17
41,Gilberto,Fluminense,25,7,544,1,2,-,1,0.9,75,2.1,2,7.21
42,Robert Arboleda,Sao Paulo,26,7,630,-,-,2,-,1,81.2,4.7,1,7.21
43,Rodrigo Dourado,Internacional,23,9,804,-,-,3,-,0.8,85.2,3.3,1,7.20
44,Walter,Corinthians,30,5,450,-,-,-,-,-,57.9,1.2,1,7.19
45,Junior,Parana Clube,26,4(1),372,-,-,1,-,0.8,82.9,1.2,2,7.19
46,Santos,Atletico PR,28,9,810,-,-,-,-,-,84.3,0.8,2,7.19
47,Rodrygo,Santos FC,17,9,742,5,2,-,-,1.9,75.1,0.2,2,7.18
48,Sander,Sport Recife,27,8(1),765,-,-,3,-,0.7,80.9,2.2,-,7.18
49,Wallyson,Vitoria,29,7(1),664,2,3,1,-,2,73.6,0.5,1,7.17
50,Marlone,Sport Recife,26,9,784,1,2,1,-,1.7,76.3,1.6,-,7.17
51,Neilton,Vitoria,24,9,778,4,3,2,-,2.1,76.6,0.1,1,7.16
52,Egidio,Cruzeiro,31,7,630,-,-,1,-,0.6,84.1,1.9,2,7.16
53,Nene,Sao Paulo,36,7(2),620,3,1,3,-,1.7,70.4,0.8,1,7.15
54,Ramiro,Gremio,25,6,496,-,-,4,-,1,89,0.8,-,7.14
55,Ronaldo Alves,Sport Recife,28,9,810,-,-,2,-,0.6,84.2,2,-,7.13
56,Jean Mota,Santos FC,24,8(1),744,1,-,-,-,3.1,82.3,0.6,1,7.12
57,Ricardo Oliveira,Atletico MG,38,8,720,4,-,2,-,2.9,80.2,1,1,7.12
58,Juan Cazares,Atletico MG,26,5(2),539,1,2,1,-,2.4,85.8,-,-,7.12
59,Vinicius Junior,Flamengo,17,8(1),706,4,3,2,-,2.6,77.9,-,-,7.11
60,Everton,Sao Paulo,29,9,757,2,3,2,-,1.4,73.3,1,-,7.11
51,Neilton,Vitoria,24,9,778,4,3,2,-,2.1,76.6,0.1,1,7.16
52,Egidio,Cruzeiro,31,7,630,-,-,1,-,0.6,84.1,1.9,2,7.16
53,Nene,Sao Paulo,36,7(2),620,3,1,3,-,1.7,70.4,0.8,1,7.15
54,Ramiro,Gremio,25,6,496,-,-,4,-,1,89,0.8,-,7.14
55,Ronaldo Alves,Sport Recife,28,9,810,-,-,2,-,0.6,84.2,2,-,7.13
56,Jean Mota,Santos FC,24,8(1),744,1,-,-,-,3.1,82.3,0.6,1,7.12
57,Ricardo Oliveira,Atletico MG,38,8,720,4,-,2,-,2.9,80.2,1,1,7.12
58,Juan Cazares,Atletico MG,26,5(2),539,1,2,1,-,2.4,85.8,-,-,7.12
59,Vinicius Junior,Flamengo,17,8(1),706,4,3,2,-,2.6,77.9,-,-,7.11
60,Everton,Sao Paulo,29,9,757,2,3,2,-,1.4,73.3,1,-,7.11
61,Luiz Otavio,Ceara,29,9,810,-,-,4,-,0.1,91.6,1.8,-,7.11
62,Dudu,Palmeiras,26,9,783,2,2,5,-,2.1,81.6,0.6,-,7.10
63,Rodriguinho,Corinthians,30,7,623,4,2,-,-,1.9,80,1.4,1,7.09
64,Matheus Fernandes,Botafogo RJ,19,8,705,-,1,3,-,1.3,84.8,0.8,-,7.09
65,Yago Pikachu,Vasco da Gama,26,9,810,3,1,-,-,2.7,77.9,0.6,1,7.09
66,Rafael Moura,America MG,35,5(1),451,3,2,1,-,1.8,68.9,2.3,-,7.07
67,Fabian Balbuena,Corinthians,26,8,720,-,-,1,-,0.6,85.5,2.9,-,7.07
68,Lucca,Internacional,28,6(2),528,1,2,2,-,2.3,81.5,0.4,1,7.06
69,Rhayner,Vitoria,27,9,716,-,1,3,-,2,82,0.8,2,7.06
70,Adilson,Atletico MG,31,7,614,-,-,3,-,-,93.3,0.6,-,7.06
61,Luiz Otavio,Ceara,29,9,810,-,-,4,-,0.1,91.6,1.8,-,7.11
62,Dudu,Palmeiras,26,9,783,2,2,5,-,2.1,81.6,0.6,-,7.10
63,Rodriguinho,Corinthians,30,7,623,4,2,-,-,1.9,80,1.4,1,7.09
64,Matheus Fernandes,Botafogo RJ,19,8,705,-,1,3,-,1.3,84.8,0.8,-,7.09
65,Yago Pikachu,Vasco da Gama,26,9,810,3,1,-,-,2.7,77.9,0.6,1,7.09
66,Rafael Moura,America MG,35,5(1),451,3,2,1,-,1.8,68.9,2.3,-,7.07
67,Fabian Balbuena,Corinthians,26,8,720,-,-,1,-,0.6,85.5,2.9,-,7.07
68,Lucca,Internacional,28,6(2),528,1,2,2,-,2.3,81.5,0.4,1,7.06
69,Rhayner,Vitoria,27,9,716,-,1,3,-,2,82,0.8,2,7.06
70,Adilson,Atletico MG,31,7,614,-,-,3,-,-,93.3,0.6,-,7.06
71,Leo Duarte,Flamengo,21,7,599,-,-,1,-,0.7,91.5,2.1,-,7.06
72,Tiago,Bahia,27,5,450,-,-,-,-,1.2,85.2,4.8,-,7.05
73,Romulo Otero,Atletico MG,25,5(2),379,1,-,-,-,2.3,82.7,0.1,2,7.05
74,Aderlan Santos,Vitoria,29,5,430,1,-,-,-,0.6,76.7,3.2,-,7.04
75,Iago,Internacional,21,9,781,-,-,3,-,0.4,75.3,1.2,-,7.04
76,Igor Rabello,Botafogo RJ,23,10,900,2,-,1,-,0.7,84,3,-,7.04
77,Marlon,Fluminense,21,5(1),499,-,-,2,-,1.2,76.6,0.5,-,7.03
78,Jeferson,Vitoria,21,6(2),569,-,1,3,-,0.5,78.2,3,-,7.03
79,Everton Ribeiro,Flamengo,29,7,541,2,-,1,1,1.3,83.3,0.3,1,7.02
80,Regis,Sao Paulo,29,4(2),424,-,-,2,-,0.3,76.7,1.2,-,7.02
71,Leo Duarte,Flamengo,21,7,599,-,-,1,-,0.7,91.5,2.1,-,7.06
72,Tiago,Bahia,27,5,450,-,-,-,-,1.2,85.2,4.8,-,7.05
73,Romulo Otero,Atletico MG,25,5(2),379,1,-,-,-,2.3,82.7,0.1,2,7.05
74,Aderlan Santos,Vitoria,29,5,430,1,-,-,-,0.6,76.7,3.2,-,7.04
75,Iago,Internacional,21,9,781,-,-,3,-,0.4,75.3,1.2,-,7.04
76,Igor Rabello,Botafogo RJ,23,10,900,2,-,1,-,0.7,84,3,-,7.04
77,Marlon,Fluminense,21,5(1),499,-,-,2,-,1.2,76.6,0.5,-,7.03
78,Jeferson,Vitoria,21,6(2),569,-,1,3,-,0.5,78.2,3,-,7.03
79,Everton Ribeiro,Flamengo,29,7,541,2,-,1,1,1.3,83.3,0.3,1,7.02
80,Regis,Sao Paulo,29,4(2),424,-,-,2,-,0.3,76.7,1.2,-,7.02
81,Jucilei,Sao Paulo,30,8,720,-,-,-,-,-,82.7,1.5,-,7.02
82,Fellipe Bastos,Sport Recife,28,8(1),708,1,1,-,-,2.8,80.3,1.4,1,7.02
83,Nino Paraiba,Bahia,32,6,540,-,-,1,-,1.2,76.6,1.8,-,7.02
84,Victor Ferraz,Santos FC,30,5,450,1,-,1,-,0.4,89.3,0.8,-,7.01
85,Wanderson,Atletico PR,27,4(1),432,-,-,-,-,0.2,89.1,3.4,-,7.01
86,Edilson,Cruzeiro,31,5,432,-,-,2,-,0.6,81.8,1.6,-,7.01
87,Carlinhos,America MG,31,5,396,1,-,1,-,1.8,78.8,1.2,-,7.00
88,Rafael Marques,Sport Recife,35,5,450,1,1,-,-,2.2,80,4,-,7.00
89,Thiago Heleno,Atletico PR,29,7,630,1,-,1,-,1,89.3,3.3,1,7.00
90,Matheus Rossetto,Atletico PR,22,7(1),682,1,-,1,-,0.4,90.6,0.8,-,7.00
81,Jucilei,Sao Paulo,30,8,720,-,-,-,-,-,82.7,1.5,-,7.02
82,Fellipe Bastos,Sport Recife,28,8(1),708,1,1,-,-,2.8,80.3,1.4,1,7.02
83,Nino Paraiba,Bahia,32,6,540,-,-,1,-,1.2,76.6,1.8,-,7.02
84,Victor Ferraz,Santos FC,30,5,450,1,-,1,-,0.4,89.3,0.8,-,7.01
85,Wanderson,Atletico PR,27,4(1),432,-,-,-,-,0.2,89.1,3.4,-,7.01
86,Edilson,Cruzeiro,31,5,432,-,-,2,-,0.6,81.8,1.6,-,7.01
87,Carlinhos,America MG,31,5,396,1,-,1,-,1.8,78.8,1.2,-,7.00
